SE,TC,Measurement,Measure,Min,Max,Average,StandardDeviation,PopulationVariance,Variance,Median,TrimmedMean (20%),WinshorizedMean (20%),GeometricMean,MAD,MADN,AverageConsumption,MeadianConsumption,AverageConsumption without baseline,MeadianConsumption without baseline
client,-product4close,5,Monitor,6268.09,6276.08,6271.7,6270.77,6272.68,1.23,1.51,1.52,6271.61,6271.7,6271.74,6271.7,0.92,1.36,1030.0,3395429.39,3395380.67,64.29,64.2,34805.9,1.74788994E7
client,-product4close,5,DUT,147.47,234.66,173.8,159.87,186.54,16.54,273.29,273.56,168.09,172.24,177.61,173.05,10.69,15.84,1030.0,94093.41,91002.08,43.27,37.56,23425.9,1.022597292E7
client,-product4close,6,Time (s),1582.0,545657.0,544.075,137304.0,409892.0,157292.714,2.4717093393057E10,2.4740997738698E10,273595.0,273600.966,273872.0,203766.892,136291.0,202062.268,1035.0,544.075,0.0,544.075,273595.0,544.075,273595.0
client,-product4close,6,HDD,0.42,5.49,1.05,0.42,1.27,0.59,0.34,0.34,1.02,0.97,1.14,0.9,0.4,0.59,170952.0,571.28,554.96,0.01,-0.02,5.44,-5471.9
client,-product4close,6,GraphicsCard,3.5,21.32,9.68,8.51,10.76,1.75,3.06,3.06,9.63,9.61,9.75,9.52,1.12,1.66,170952.0,5266.65,5239.44,-0.59,-0.64,-321.0,-175100.8
client,-product4close,6,Processor,1.19,161.79,16.06,5.35,30.34,17.88,319.78,319.78,6.54,12.87,25.28,9.77,1.79,2.65,170952.0,8737.84,3558.25,10.86,1.34,5908.65,366617.3
client,-product4close,6,Monitor,6268.74,6278.83,6271.55,6270.45,6272.02,1.87,3.48,3.48,6271.03,6271.2,6271.74,6271.55,0.73,1.08,1035.0,3412193.57,3411910.65,64.14,63.62,34896.97,1.74061139E7
client,-product4close,6,DUT,148.36,233.49,174.48,161.16,186.66,16.21,262.43,262.68,169.02,172.88,178.46,173.76,10.39,15.4,1035.0,94930.21,91959.56,43.95,38.49,23912.1,1.053067155E7
client,-product4close,7,Time (s),1581.0,543556.0,541.975,136777.0,408321.0,156691.787,2.4528502094227E10,2.455231617393E10,272545.0,272548.215,272820.5,202984.233,135768.0,201286.879,1031.0,541.975,0.0,541.975,272545.0,541.975,272545.0
client,-product4close,7,HDD,0.42,5.49,1.05,0.42,1.27,0.59,0.35,0.35,1.02,0.98,1.14,0.9,0.4,0.59,170292.0,569.07,552.81,0.01,-0.02,5.42,-5450.9
client,-product4close,7,GraphicsCard,2.85,20.3,9.69,8.52,10.77,1.75,3.06,3.06,9.64,9.63,9.75,9.54,1.13,1.68,170292.0,5251.74,5224.64,-0.58,-0.63,-314.35,-171703.35
client,-product4close,7,Processor,1.19,159.41,16.35,5.35,31.53,18.03,325.21,325.21,6.54,13.2,25.28,9.95,1.79,2.65,170292.0,8861.29,3544.52,11.15,1.34,6043.02,365210.3
client,-product4close,7,Monitor,6267.89,6274.62,6271.22,6270.69,6271.69,0.82,0.68,0.68,6271.12,6271.17,6271.28,6271.22,0.5,0.75,1031.0,3398844.46,3398790.26,63.81,63.71,34583.42,1.736384195E7
client,-product4close,7,DUT,149.87,230.99,176.99,163.62,189.45,16.08,258.16,258.41,172.62,175.61,179.88,176.29,11.12,16.48,1031.0,95924.16,93555.72,46.46,42.09,25180.16,1.147141905E7
client,-product4close,8,Time (s),1582.0,544664.0,543.082,137044.0,409149.5,157014.202,2.4629593750352E10,2.4653459635769E10,273089.0,273097.259,273371.5,203380.204,135797.0,201329.874,1033.0,543.082,0.0,543.082,273089.0,543.082,273089.0
client,-product4close,8,HDD,0.42,5.49,1.06,0.42,1.42,0.59,0.35,0.35,1.02,0.98,1.14,0.91,0.4,0.59,170518.0,575.67,553.94,0.02,-0.02,10.86,-5461.78
client,-product4close,8,GraphicsCard,3.07,20.17,9.77,8.6,10.78,1.76,3.11,3.11,9.65,9.71,9.78,9.62,1.13,1.68,170518.0,5305.91,5240.74,-0.5,-0.62,-271.54,-169315.18
client,-product4close,8,Processor,1.19,171.9,16.36,5.35,31.53,18.09,327.21,327.21,6.54,13.17,25.57,9.93,1.79,2.65,170518.0,8884.82,3551.76,11.16,1.34,6060.8,365939.26
client,-product4close,8,Monitor,6248.73,6274.34,6270.7,6270.01,6271.41,1.47,2.16,2.16,6270.58,6270.7,6270.92,6270.7,0.66,0.98,1033.0,3405504.3,3405439.13,63.29,63.17,34371.66,1.725103213E7
client,-product4close,8,DUT,149.12,246.73,182.26,168.58,194.44,17.35,300.88,301.17,176.43,180.58,185.95,181.47,10.59,15.69,1033.0,98982.13,95815.96,51.73,45.9,28093.63,1.25347851E7
client,-product4close,9,Time (s),1582.0,542045.0,540.463,136408.5,407201.25,156252.58,2.4391118834561E10,2.4414868706844E10,271794.0,271800.898,272066.5,202434.121,135264.5,200540.4,1028.0,540.463,0.0,540.463,271794.0,540.463,271794.0
client,-product4close,9,HDD,0.42,4.95,1.07,0.67,1.52,0.6,0.36,0.36,1.02,0.99,1.14,0.91,0.4,0.59,169814.0,578.3,551.27,0.03,-0.02,16.21,-5435.88
client,-product4close,9,GraphicsCard,3.19,19.96,9.8,8.61,10.81,1.77,3.14,3.14,9.67,9.73,9.84,9.64,1.11,1.65,169814.0,5296.54,5226.28,-0.47,-0.6,-254.02,-163076.4
client,-product4close,9,Processor,1.19,158.82,16.48,5.35,32.12,18.23,332.24,332.24,6.54,13.31,25.57,9.95,1.79,2.65,169814.0,8906.83,3534.63,11.28,1.34,6096.42,364203.96
client,-product4close,9,Monitor,6267.2,6279.68,6272.09,6270.51,6272.37,2.85,8.12,8.13,6271.46,6271.79,6273.16,6272.09,0.93,1.38,1028.0,3389832.58,3389492.09,64.68,64.05,34957.15,1.74084057E7
client,-product4close,9,DUT,153.04,245.21,182.91,169.09,196.15,16.63,276.16,276.43,178.12,181.54,185.57,182.18,11.47,17.01,1028.0,98856.09,96267.27,52.38,47.59,28309.45,1.293467646E7
client,-product4close,10,Time (s),1580.0,545208.0,543.628,137199.5,409563.75,157165.717,2.4677173785072E10,2.4701062627071E10,273374.5,273376.101,273642.0,203595.41,136050.5,201705.708,1034.0,543.628,0.0,543.628,273374.5,543.628,273374.5
client,-product4close,10,HDD,0.42,5.79,1.08,0.67,1.52,0.6,0.36,0.36,1.02,1.0,1.14,0.92,0.5,0.74,170798.0,587.12,554.5,0.04,-0.02,21.75,-5467.49
client,-product4close,10,GraphicsCard,2.74,20.22,9.81,8.61,10.87,1.78,3.16,3.16,9.73,9.75,9.86,9.65,1.12,1.66,170798.0,5332.99,5289.5,-0.46,-0.54,-250.07,-147622.23
client,-product4close,10,Processor,1.19,164.76,16.08,5.35,30.34,18.03,325.15,325.15,6.54,12.86,25.28,9.7,1.79,2.65,170798.0,8741.54,3555.33,10.88,1.34,5914.67,366321.83
